Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Image Src,Image Position,Variant Weight Unit,Status
configurator-onderstel,Onderstel:,,Zaza Woods,,Onderstel,configurator,TRUE,Model,Konische Spider (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,kg,active
configurator-onderstel,,,,,,,,Model,Pilares (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Hannah (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Golvend Kolom (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Lara (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Diablo (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Ferdo (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Schuin (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Rondo (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Bernard (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Demi Lune (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Blok (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Hapa (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Base (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Golvend Duo (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Moda (Hout),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Vera (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,A-vorm (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Butterfly (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Diago (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,V-vorm (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Walrus (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Ekso (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,X-vorm (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Hairpin (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Matrix (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Konische Spider (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Stative (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Vedo (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Thore (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Criss Cross (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Lara (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Pluto (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Ovaal Kolom (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Tapse Spin (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Pedro (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,VN (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Cona (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Positivo (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-onderstel,,,,,,,,Model,Ronde Kolom (Metaal),,,,0,,0,deny,manual,0.00,,TRUE,,,,active
