Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Image Src,Image Position,Variant Weight Unit,Status
configurator-rechthoek,Vorm: Rechthoek,,Zaza Woods,,Tafelblad,configurator,TRUE,Afmeting,180 x 90,,,,0,,0,deny,manual,0.00,,TRUE,,,kg,active
configurator-rechthoek,,,,,,,,Afmeting,180 x 100,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,180 x 110,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,200 x 90,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,200 x 100,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,200 x 110,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,220 x 90,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,220 x 100,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,220 x 110,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,240 x 90,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,240 x 100,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,240 x 110,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,260 x 90,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,260 x 100,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
configurator-rechthoek,,,,,,,,Afmeting,260 x 110,,,,0,,0,deny,manual,0.00,,TRUE,,,,active
